source_source,package_source,source_dest,package_dest
"crates","descriptor-wallet","crates","lightning_encoding"
"crates","ruma-api","crates","ruma-api-macros"
"crates","ruma-identifiers","crates","ruma-identifiers-macros"
"crates","ntex-service","crates","ntex-util"
"crates","ez","crates","ez-ezio"
"crates","notedown_ast","crates","notedown_parser"
"crates","pistoncore-event_loop","crates","pistoncore-window"
"crates","savefile-derive","crates","savefile"
"crates","ntex-rt","crates","ntex-util"
"crates","jit","crates","jit_macros"
"crates","tinystr","crates","tinystr-macros"
"crates","solana-gossip","crates","solana-core"
"crates","x86_64","crates","os_bootinfo"
"crates","rocket","crates","rocket_codegen"
"crates","zinc64","crates","zinc64-loader"
"crates","zinc64","crates","zinc64-debug"
"crates","wasmtime-runtime","crates","wasmtime-profiling"
"crates","checkout_core","crates","checkout_server_derive"
"crates","you-can","crates","unbounded"
"crates","codespan","crates","codespan-reporting"
"crates","rdrand","crates","rand"
"crates","testcontainers","crates","tc_parity_parity"
"crates","testcontainers","crates","tc_trufflesuite_ganachecli"
"crates","testcontainers","crates","tc_coblox_bitcoincore"
"crates","rustc-ap-syntax","crates","rustc-ap-rustc_session"
"crates","gluon","crates","gluon_format"
"crates","yarte_helpers","crates","yarte_parser"
"crates","fixed_trigonometry","crates","mixed-num"
"crates","xdg","crates","dirs"
"crates","ntest","crates","ntest_timeout"
"crates","crossbeam","crates","crossbeam-channel"
"crates","metrics","crates","metrics-util"
"crates","wasmtime","crates","wasmtime-wast"
"crates","wasmtime","crates","wasmtime-wasi"
"crates","wasmtime","crates","wasmtime-interface-types"
"crates","windows-storage","crates","windows-system"
"crates","futures","crates","futures-io"
"crates","windows-devices","crates","windows-storage"
"crates","windows-devices","crates","windows-media"
"crates","windows-devices","crates","windows-graphics"
"crates","windows-devices","crates","windows-networking"
"crates","windows-devices","crates","windows-system"
"crates","windows-devices","crates","windows-ui"
"crates","windows-data","crates","windows-storage"
"crates","windows-data","crates","windows-ui"
"crates","solana-runtime","crates","solana-bpf-loader-program"
"crates","glam","crates","spirv-std"
"crates","gfx_device_gl","crates","gfx"
"crates","lindera-ipadic","crates","lindera"
"crates","lindera-ipadic","crates","lindera-core"
"crates","cortex-m","crates","cortex-m-semihosting"
"crates","trust-dns","crates","trust-dns-server"
"crates","get_len_base_10_as_usize","crates","get_len_base_10_as_usize_macros"
"crates","amplify","crates","amplify_derive"
"crates","blockchain-traits","crates","oasis-types"
"crates","salvo","crates","salvo_extra"
"crates","thrussh","crates","thrussh-keys"
"crates","nu-parser","crates","nu-test-support"
"crates","aAab98e1b710fedc8a3f79a77462ba1f03da095dca27037ba460c16971","crates","aB36743f553dc34bb653d5006f7c3cb1ce1fb3221886d830d7604b6599"
"crates","fluence-sdk-macro","crates","fluence-sdk-main"
"crates","aae57588a5f6241f83314c18e8f61ba0c9a1da71aa1ffcecf054fd006f","crates","ab057eeeb81e66e695928435b2aefc0a2a9ee96dadedbd39530d5a6099"
"crates","fuel-dummy-test-subcrate-a","crates","fuel-dummy-test-subcrate-b"
