identity_type,identity
"email","gitlab ci"
"email","__"
"email","-l"
"email","67068259+rename-master-branch[bot]@users.noreply.github.com"
"github_login","rename-master-branch[bot]"
"email","admin.com"
"email","gaming.bot.discord@gmail.com"
"email","t"
"email","62422113+bulldozer-balena[bot]@users.noreply.github.com"
"github_login","bulldozer-balena[bot]"
"email","42819689+mend-bolt-for-github[bot]@users.noreply.github.com"
"github_login","mend-bolt-for-github[bot]"
"email","-"
"email","null"
"email","bot@cepler.dev"
"github_login","renovate[bot]"
"email","renovate[bot]@users.noreply.github.com"
"email","V"
"email","azure-pipelines[bot]@users.noreply.github.com"
"github_login","azure-pipelines[bot]"
"email","rustfmtbot@yandex.ru"
"github_login","pyup-bot"
"email","github-bot@pyup.io"
"email","mergeable[bot]@users.noreply.github.com"
"email","38454089+mergeable[bot]@users.noreply.github.com"
"github_login","mergeable[bot]"
"email","near-bulldozer[bot]@users.noreply.github.com"
"email","73298989+near-bulldozer[bot]@users.noreply.github.com"
"github_login","near-bulldozer[bot]"
"email","72252241+p42-ai[bot]@users.noreply.github.com"
"github_login","p42-ai[bot]"
"email","mimblewimble-robot@protonmail.com"
"github_login","mimblewimble-robot"
"email","wpt-pr-bot@users.noreply.github.com"
"github_login","wpt-pr-bot"
"email","50673670+whitesource-for-github-com[bot]@users.noreply.github.com"
"github_login","whitesource-for-github-com[bot]"
"email","56702484+nearprotocol-bulldozer[bot]@users.noreply.github.com"
"github_login","nearprotocol-bulldozer[bot]"
"email","6422482+facebook-github-bot@users.noreply.github.com"
"email","facebook-github-bot@users.noreply.github.com"
"github_login","facebook-github-bot"
"email","29139614+renovate[bot]@users.noreply.github.com"
"email","semantic-release-bot@martynus.net"
"github_login","semantic-release-bot"
"email","76121476+teto-bot@users.noreply.github.com"
"email","teto-bot@users.noreply.github.com"
"github_login","teto-bot"
"email","46682169+j143-bot@users.noreply.github.com"
"github_login","j143-bot"
"email","github@ratherlargerobot.com"
"github_login","ratherlargerobot"
"email","75402976+cio-bot[bot]@users.noreply.github.com"
"github_login","cio-bot[bot]"
"email","lumol-bot@lumol.org"
"github_login","lumol-bot"
"email","35302948+codetriage-readme-bot@users.noreply.github.com"
"github_login","codetriage-readme-bot"
"email","dev@byrobot.co.kr"
"github_login","BYROBOT"
"email","polywrap-build-bot@users.noreply.github.com"
"github_login","polywrap-build-bot"
"email","actions@github.com"
"email","actions-user@users.noreply.github.com"
"email","action@github.com"
"github_login","actions-user"
"email","k"
"email","86324825+codesee-maps[bot]@users.noreply.github.com"
"github_login","codesee-maps[bot]"
"email","gvallat@aldebaran-robotics.com"
"email","not-a-robot[bot]@users.noreply.github.com"
"github_login","not-a-robot[bot]"
"email","email"
"email","not-a-robot@rediger.net"
"github_login","not-a-robot"
"email","github-actions-bot@users.noreply.github.com"
"github_login","github-actions-bot"
"email","dependabot-buildkite@noreply.solana.com"
"email","TODO"
"email","m"
"email","55277160+gitlocalize-app[bot]@users.noreply.github.com"
"github_login","gitlocalize-app[bot]"
"email","ILLEGAL_VALUE"
"email","subshell[bot]@users.noreply.github.com"
"github_login","subshell[bot]"
"email","26634292+bors[bot]@users.noreply.github.com"
"email","bors[bot]@users.noreply.github.com"
"github_login","bors[bot]"
"email","mergecat[bot]@users.noreply.github.com"
"github_login","mergecat[bot]"
"email","nobody"
"email","87023934+anatawa12-bot@users.noreply.github.com"
"github_login","anatawa12-bot"
"email","github@users.noreply.github.com"
"github_login","github"
"email","semgrep-dev[bot]@users.noreply.github.com"
"github_login","semgrep-dev[bot]"
"email","86324825+codesee-architecture-diagrams[bot]@users.noreply.github.com"
"github_login","codesee-architecture-diagrams[bot]"
"email","undefined"
"email","bot@getsentry.com"
"email","63786291+versionbot3[bot]@users.noreply.github.com"
"github_login","versionbot3[bot]"
"email","ci"
"email","no-email"
"email","bot@galoy.io"
"github_login","galoybot"
"email","risqbot@misthos.io"
"github_login","risqbot"
"email","tidy.bot@example.com"
"email","48340428+msftbot[bot]@users.noreply.github.com"
"github_login","msftbot[bot]"
"email","github+bot@snyk.io"
"email","snyk-bot@snyk.io"
"github_login","snyk-bot"
"email","--show-origin"
"email","44246292+repo-mountie[bot]@users.noreply.github.com"
"github_login","repo-mountie[bot]"
"email","e"
"email","bors-ng[bot]@users.noreply.github.com"
"github_login","bors-ng[bot]"
"email","u"
"email","="
"email","sozysozbot@gmail.com"
"email","jekto.vatimeliju@gmail.com"
"github_login","sozysozbot"
"email","doc bot"
"email",""
"email","botahamec@outlook.com"
"github_login","botahamec"
"email","hyperchessbot@gmail.com"
"github_login","hyperchessbot"
"email","74670311+meili-bot@users.noreply.github.com"
"github_login","meili-bot"
"email","95660001+tvm-bot@users.noreply.github.com"
"github_login","tvm-bot"
"email","bot@libninja.com"
"email","bots@solana.com"
"email","~"
"email","T"
"email","49662722+slide-bot@users.noreply.github.com"
"github_login","slide-bot"
"email","37929162+mergify[bot]@users.noreply.github.com"
"email","mergify[bot]@users.noreply.github.com"
"github_login","mergify[bot]"
"email","gh-actions"
"email","75433959+openshift-ci[bot]@users.noreply.github.com"
"github_login","openshift-ci[bot]"
"email","88913265+noelbot@users.noreply.github.com"
"github_login","noelbot"
"email","commit-bot@chromium.org@2bbb7eff-a529-9590-31e7-b0007b416f81"
"email","J"
"email","robotmachine@protonmail.ch"
"gitlab_login","robotmachine"
"email","cat@blargbot.xyz"
"github_login","Ratismal"
"email","svc-excavator-bot@palantir.com"
"email","33266368+svc-excavator-bot@users.noreply.github.com"
"github_login","svc-excavator-bot"
"email","bot@devolutions.net"
"email","31221910+devolutionsbot@users.noreply.github.com"
"github_login","devolutionsbot"
"email","commit-bot@chromium.org"
"email","nnn"
"email","real.bot.brad@gmail.com"
"email","65849237+Bitbot25@users.noreply.github.com"
"email","edvin.flodin@gmail.com"
"github_login","Bitbot25"
"email","41898282+github-actions[bot]@users.noreply.github.com"
"email","github-actions[bot]@users.noreply.github.com"
"github_login","github-actions[bot]"
"email","whynotbot"
"email","32407685+knet-ci-bot@users.noreply.github.com"
"github_login","knet-ci-bot"
"email","66853113+pre-commit-ci[bot]@users.noreply.github.com"
"github_login","pre-commit-ci[bot]"
"email","logseq[bot]@users.noreply.github.com"
"github_login","logseq[bot]"
"email","user.email"
"email","73095118+atsamd-bot@users.noreply.github.com"
"github_login","atsamd-bot"
"email","unset"
"email","--help"
"email","82463608+casperlabs-bors-ng[bot]@users.noreply.github.com"
"github_login","casperlabs-bors-ng[bot]"
"email","web3-api-build-bot@users.noreply.github.com"
"github_login","web3-api-build-bot"
"email","62723109+lennart-bot@users.noreply.github.com"
"github_login","lennart-bot"
"email","docs-bot@ethereum.org"
"email","48659329+mergequeue[bot]@users.noreply.github.com"
"email","mergequeue[bot]@users.noreply.github.com"
"github_login","mergequeue[bot]"
"email","bot@project-osrm.org"
"email","confidential"
"email","facebook-github-bot-8-bot@fb.com"
"email","86325471+codesee-architecture-diagrams-dev[bot]@users.noreply.github.com"
"github_login","codesee-architecture-diagrams-dev[bot]"
"email","77245923+microsoft-github-policy-service[bot]@users.noreply.github.com"
"github_login","microsoft-github-policy-service[bot]"
"email","n"
"email","104503986+dev-x-bots-terraform[bot]@users.noreply.github.com"
"github_login","dev-x-bots-terraform[bot]"
"email","55726097+microsoft-github-operations[bot]@users.noreply.github.com"
"github_login","microsoft-github-operations[bot]"
"email","hibibot@pm.me"
"gitlab_login","HibiBot"
"email","31301654+imgbot[bot]@users.noreply.github.com"
"github_login","imgbot[bot]"
"email","resin-io-modules-versionbot[bot]@users.noreply.github.com"
"github_login","resin-io-modules-versionbot[bot]"
"email","bot@sit-it.org"
"email","bot@sit.fyi"
"github_login","sit-bot"
"email","104492852+libp2p-mgmt-read-write[bot]@users.noreply.github.com"
"github_login","libp2p-mgmt-read-write[bot]"
"email","49699333+dependabot[bot]@users.noreply.github.com"
"email","dependabot[bot]@users.noreply.github.com"
"github_login","dependabot[bot]"
"email","66930949+ti-srebot@users.noreply.github.com"
"github_login","ti-srebot"
"email","(none)"
"email","q"
"email","travis@travis-ci.org"
"email","--set"
"email","9334746+the-robot@users.noreply.github.com"
"github_login","the-robot"
"email","github-bot@jcline.org"
"email","facebook-github-bot-5-bot@fb.com"
"email","--global"
"email","61709057+bors-luxolus[bot]@users.noreply.github.com"
"github_login","bors-luxolus[bot]"
"email","gh-bot@azyobuzi.net"
"email","greenkeeper[bot]@users.noreply.github.com"
"email","23040076+greenkeeper[bot]@users.noreply.github.com"
"github_login","greenkeeper[bot]"
"email","rigetti-githubbot@users.noreply.github.com"
"github_login","rigetti-githubbot"
"email","botsu@khonsulabs.com"
"github_login","kl-botsu"
"email","Bot"
"email","a"
"email","bot@codelingo.io"
"github_login","CodeLingoBot"
"email","nope"
"email","docbot@travis"
"email","lbergstrom+bors@mozilla.com"
"email","servo-ops@mozilla.com"
"github_login","bors-servo"
"email","bot@aleo.org"
"email","--get-all"
"email","60108153+parity-processbot[bot]@users.noreply.github.com"
"github_login","parity-processbot[bot]"
"email","pnadeau@annoybot.org"
"github_login","annoybot"
"email","69740409+sbosnick-bot@users.noreply.github.com"
"github_login","sbosnick-bot"
"email","botbob@disroot.org"
"email","HELICS-bot@users.noreply.github.com"
"github_login","HELICS-bot"
"email","bot@mtgoncurve.com"
"email","not-a-robot-bors-ng[bot]@users.noreply.github.com"
"github_login","not-a-robot-bors-ng[bot]"
"email","daggerbot@gmail.com"
"github_login","daggerbot"
"email","l"
"email","bot@swc.rs"
"github_login","swc-bot"
"email","C:\Self\AppData\Mail"
"email","snapbot@devguard.io"
"email","omitted"
"email","bot@renovateapp.com"
"github_login","renovate-bot"
"email","62643593+eventstore-bot@users.noreply.github.com"
"github_login","eventstore-bot"
"email","82609003+gotham-restful-bot[bot]@users.noreply.github.com"
"github_login","gotham-restful-bot[bot]"
"email","todo-actions[bot]@users.noreply.github.com"
"github_login","todo-actions[bot]"
"email","#"
"email","49736102+kodiakhq[bot]@users.noreply.github.com"
"email","kodiakhq[bot]@users.noreply.github.com"
"github_login","kodiakhq[bot]"
"email","openshift-merge-robot@users.noreply.github.com"
"github_login","openshift-merge-robot"
"email","85296647+spy-v2[bot]@users.noreply.github.com"
"github_login","spy-v2[bot]"
"email","opensource+bot@outscale.com"
"github_login","Open-Source-Bot"
"email","bot@hackndev.com"
"github_login","hacknbot"
"email","69343704+wtools-bot@users.noreply.github.com"
"github_login","wtools-bot"
"email","chessbotroulette@gmail.com"
"github_login","easychessanimations"
"email","bot@bot"
"email","50673670+mend-for-github-com[bot]@users.noreply.github.com"
"email","mend-for-github-com[bot]@users.noreply.github.com"
"github_login","mend-for-github-com[bot]"
"email","bors@users.noreply.github.com"
"email","bors@rust-lang.org"
"github_login","bors"
"email","--local"
"email","lh"
"email","getsentry-bot@users.noreply.github.com"
"email","bot@sentry.io"
"github_login","getsentry-bot"
"email","sre-bot@pingcap.com"
"github_login","sre-bot"
"email","no"
"email","robot9@fb.com"
"email","frankensteinbot@gmail.com"
"github_login","ReadmeCritic"
"email","deepsource-io[bot]@users.noreply.github.com"
"github_login","deepsource-io[bot]"
"email","localhost"
"email","46447321+allcontributors[bot]@users.noreply.github.com"
"email","allcontributors[bot]@users.noreply.github.com"
"github_login","allcontributors[bot]"
"email","none"
"email","me+bot@mause.me"
"email","olga.botvinnik@gmail.com"
"email","olga.botvinnik@czbiohub.org"
"github_login","olgabot"
"email","noreply"
"email","snbot@streamnative.io"
"github_login","streamnativebot"
"email","scrobot91@gmail.com"
"github_login","scrobot"
"email","whitesource-bolt-for-github[bot]@users.noreply.github.com"
"email","42819689+whitesource-bolt-for-github[bot]@users.noreply.github.com"
"github_login","whitesource-bolt-for-github[bot]"
"email","43709385+ryscheng-bot[bot]@users.noreply.github.com"
"email","ryscheng-bot[bot]@users.noreply.github.com"
"github_login","ryscheng-bot[bot]"
"email","publish-bot[bot]@users.noreply.github.com"
"github_login","publish-bot[bot]"
"email","bot@wasmer.io"
"email","bot@deepsource.io"
"github_login","deepsourcebot"
"email","33910674+denobot@users.noreply.github.com"
"email","denobot@users.noreply.github.com"
"github_login","denobot"
"email","werkos[bot]@users.noreply.github.com"
"github_login","werkos[bot]"
"email","phillip-ground[bot]@users.noreply.github.com"
"email","95693256+phillip-ground[bot]@users.noreply.github.com"
"github_login","phillip-ground[bot]"
"email","bors-voyager[bot]@users.noreply.github.com"
"github_login","bors-voyager[bot]"
"email","106432666+release-plz[bot]@users.noreply.github.com"
"github_login","release-plz[bot]"
"email","donnytyler.com"
"email","Me"
"email","zama-bot@zama.ai"
"github_login","zama-bot"
"email","64672699+amiarobot@users.noreply.github.com"
"github_login","amiarobot"
"email","bots@solana.io"
"email","qedabot@users.noreply.github.com"
"github_login","qedabot"
"email","33075676+octokitbot@users.noreply.github.com"
"github_login","octokitbot"
"email","yigbot@gmail.com"
"email","identity-bot@iota.org"
"github_login","identity-bot"
"email","D"
"email","dependabot-preview[bot]@users.noreply.github.com"
"email","27856297+dependabot-preview[bot]@users.noreply.github.com"
"github_login","dependabot-preview[bot]"
"email","Administrator"
"email","unknown"
"email","_"
"email","62050782+deepsource-autofix[bot]@users.noreply.github.com"
"github_login","deepsource-autofix[bot]"
"email","support@dependabot.com"
"github_login","dependabot-support"
"email","daggerbot@localhost.localdomain"
"email","42166451+luvcrashbot@users.noreply.github.com"
"github_login","luvcrashbot"
