source_source,repo_source,source_dest,repo_dest
"GitHub","1aim/DELETE-THIS-mail-headers","GitHub","dac-gmbh/mail"
"GitHub","1aim/DELETE-THIS-mail-template","GitHub","dac-gmbh/mail"
"GitHub","ChainSafe/forest","GitHub","filecoin-project/ref-fvm"
"GitHub","DioxusLabs/dioxus","GitHub","DioxusLabs/dioxus-html-macro"
"GitHub","EpicCash/epic","GitHub","mimblewimble/epic"
"GitHub","ErikBuer/Fixed-Trigonometry","GitHub","ErikBuer/Mixed-Num"
"GitHub","ErikBuer/Fixed-Trigonometry","GitHub","norsk-datateknikk/Mixed-Num"
"GitHub","Fair-Exchange/Safecoin","GitHub","Fair-Exchange/safecoin-program-library"
"GitHub","FuelLabs/sway","GitHub","FuelLabs/fuels-rs"
"GitHub","FyroxEngine/Fyrox","GitHub","mrDIMAS/hrtf"
"GitHub","Internet2-WG/rust-internet2","GitHub","LNP-WG/lnp-core"
"GitHub","LNP-BP/descriptor-wallet","GitHub","LNP-BP/client_side_validation"
"GitHub","LNP-BP/rust-lnpbp","GitHub","LNP-BP/client_side_validation"
"GitHub","LNP-BP/rust-lnpbp","GitHub","LNP-WG/lnp-core"
"GitHub","LNP-BP/rust-lnpbp","GitHub","internet2-org/internet2"
"GitHub","LNP-BP/rust-lnpbp","GitHub","rust-bitcoin/descriptor-wallet"
"GitHub","LNP-WG/lnp-core","GitHub","rust-bitcoin/descriptor-wallet"
"GitHub","Logicalshift/flowbetween","GitHub","Logicalshift/flo_draw"
"GitHub","MaikorAppPublic/vm-core","GitHub","MaikorAppPublic/vm-file"
"GitHub","RGB-WG/rgb-core","GitHub","RGB-WG/rgb-std"
"GitHub","Ralith/hecs","GitHub","bevyengine/bevy"
"GitHub","RobertDurfee/LexerGenerator","GitHub","RobertDurfee/ParserGenerator"
"GitHub","RobertDurfee/LexerGenerator","GitHub","RobertDurfee/RegularExpression"
"GitHub","RobertDurfee/ParserGenerator","GitHub","RobertDurfee/LexerGenerator"
"GitHub","RobertDurfee/ParserGenerator","GitHub","RobertDurfee/RegularExpression"
"GitHub","RobertDurfee/RegularExpression","GitHub","RobertDurfee/LexerGenerator"
"GitHub","RobertDurfee/RegularExpression","GitHub","RobertDurfee/ParserGenerator"
"GitHub","RusPiRo/ruspiro-singleton","GitHub","RusPiRo/ruspiro-interrupt"
"GitHub","RustCrypto/block-ciphers","GitHub","RustCrypto/utils"
"GitHub","RustCrypto/traits","GitHub","RustCrypto/utils"
"GitHub","RustCrypto/utils","GitHub","RustCrypto/traits"
"GitHub","Strosel/giftwrap","GitHub","Strosel/harled"
"GitHub","TianyiShi2001/nom-pdb","GitHub","TianyiShi2001/protein"
"GitHub","TianyiShi2001/protein","GitHub","TianyiShi2001/nom-pdb"
"GitHub","Wandalen/wTools","GitHub","Wandalen/wMath"
"GitHub","actix/actix","GitHub","actix/actix-net"
"GitHub","akkoro/assemblylift","GitHub","akkoro/assemblylift-iomod-registry"
