identity_type,identity
"email","dependabot-preview[bot]@users.noreply.github.com"
"email","49699333+dependabot[bot]@users.noreply.github.com"
"email","philipp"
"github_login","dependabot-preview[bot]"
"github_login","bors[bot]"
"email","Tankobot@users.noreply.github.com"
"github_login","Tankobot"
"email","27856297+dependabot-preview[bot]@users.noreply.github.com"
"email","bors@rust-lang.org"
"github_login","traviscibot"
"email","root@localhost"
"email","="
"github_login","bors"
"email","26634292+bors[bot]@users.noreply.github.com"
"email","deploy@travis-ci.org"
"email","lbergstrom+bors@mozilla.com"
"email","servo-ops@mozilla.com"
"email","bors[bot]@users.noreply.github.com"
"email","ci"
"email",""
"github_login","bors-servo"
"github_login","dependabot[bot]"
